code_name,name,buy,sell,market_cap,volume,change
BTC,Bitcoin,15198.61,15090.32,280600000000.0,4400000000.0,0.39%
ETH,Ethereum,504.63,492.83,56700000000.0,2100000000.0,-0.57%
XRP,XRP (Ripple),0.358785,0.349965,15800000000.0,282300000.0,-0.01%
BNB,BNB,40.69,39.70,5800000000.0,228300000.0,-2.03%
BCH,Bitcoin Cash,316.61,308.88,5700000000.0,329400000.0,-0.50%
DOT,Polkadot,5.9304,5.7833,5300000000.0,147300000.0,-1.65%
LINK,ChainLink,13.7056,13.3658,4700000000.0,394200000.0,0.21%
CRO,Crypto.com Coin (CRO),0.214876,0.208772,4300000000.0,72700000.0,0.37%
ADA,Cardano,0.139046,0.135310,4200000000.0,129600000.0,-1.57%
BSV,Bitcoin SV,230.87,224.63,4200000000.0,149200000.0,-1.48%
LTC,Litecoin,66.13,64.50,4200000000.0,326300000.0,-1.44%
USDC,USD Coin,1.419641,1.404619,3700000000.0,62900000.0,-0.13%
EOS,EOS,3.6129,3.5253,3300000000.0,227200000.0,-0.52%
USDT,Tether USD,1.420218,1.406087,2800000000.0,5600000000.0,-0.14%
TRX,TRON,0.037839,0.036807,2600000000.0,236500000.0,-1.22%
XTZ,Tezos,3.0587,2.9794,2300000000.0,59500000.0,0.37%
XLM,Stellar,0.104703,0.101822,2100000000.0,66900000.00000001,-0.36%
NEO,Neo,25.37,24.65,1700000000.0,132300000.00000001,-2.36%
XEM,NEM,0.175518,0.170004,1500000000.0,29100000.0,1.96%
ATOM,Cosmos,7.6708,7.4641,1500000000.0,81000000.0,-0.21%
MIOTA,IOTA,0.386899,0.376061,1000000000.0,14400000.0,-3.64%
VET,VeChainThor,0.016412,0.015990,1000000000.0,41600000.0,-3.22%
YFI,yearn.finance,27243.02,26435.42,1000000000.0,340100000.0,0.09%
ZEC,Zcash,93.73,91.29,958500000.0,161800000.0,3.79%
LEND,Aave,0.733071,0.714411,943000000.0,96300000.0,-5.23%
DASH,Dash,96.57,94.10,911100000.0,53400000.0,1.03%
THETA,Theta,1.059032,1.029983,897200000.0,67099999.99999999,-3.84%
ETC,Ethereum Classic,7.37,7.10,881900000.0,79500000.0,-1.94%
OMG,OMG Network,5.3863,5.2368,742400000.0,175300000.0,1.35%
MKR,Maker,808.95,788.61,731500000.0,20600000.0,0.45%
ONT,Ontology,0.8528,0.8286,635300000.0,40600000.0,-1.23%
SNX,Synthetix,5.8697,5.7225,597700000.0,14100000.0,-8.53%
UNI,Uniswap,4.72,4.59,581400000.0,159500000.0,-12.84%
ALGO,Algorand,0.455130,0.443188,497500000.0,52600000.0,0.40%
DGB,DigiByte,0.036927,0.035449,485600000.0,13500000.0,-3.58%
COMP,Compound,175.47,170.50,485600000.0,20800000.0,-0.24%
FTT,FTX Token,5.0554,4.9345,465100000.0,8400000.0,-1.02%
DOGE,Dogecoin,0.003799,0.003469,461500000.0,14800000.0,0.37%
BTT,BitTorrent,0.000472,0.000456,454000000.0,59800000.0,-1.94%
BAT,Basic Attention Token,0.317147,0.308029,453900000.0,16300000.0,-1.93%
KSM,Kusama,45.66,44.31,419400000.0,14200000.0,-1.40%
ZRX,0x,0.535519,0.519366,389800000.0,27500000.0,-1.12%
EWT,Energy Web Token,10.3750,9.8477,370200000.0,1100000.0,-3.10%
WAVES,Waves,3.3590,3.2560,338800000.0,53500000.0,-2.06%
ICX,ICON,0.566367,0.543350,314700000.0,25300000.0,-2.83%
QTUM,Qtum,3.2820,3.1928,311700000.0,50300000.0,-1.12%
LRC,Loopring,0.272926,0.265641,301500000.0,11800000.0,-5.51%
REN,REN,0.347388,0.336841,301400000.0,47700000.0,-11.10%
ZIL,Zilliqa,0.029481,0.028661,300300000.0,74200000.0,-0.65%
KNC,Kyber,1.3101,1.2792,255600000.0,21600000.0,-2.67%
HBAR,Hedera Hashgraph,0.045285,0.042991,238800000.0,3400000.0,0.70%
REP,Augur v2,20.10,19.33,213700000.0,3700000.0,0.68%
LSK,Lisk,1.5871,1.5370,194500000.0,2600000.0,-1.64%
DCR,Decred,16.49,15.94,192400000.0,975900.02,0.27%
BTG,Bitcoin Gold,11.25,10.92,191300000.0,2000000.0,-0.72%
BAND,Band Protocol,8.4027,8.1952,189000000.0,48400000.0,-3.31%
OCEAN,Ocean Protocol,0.452395,0.438210,181300000.0,9400000.0,-8.01%
ENJ,Enjin Coin,0.221715,0.215108,177400000.0,5100000.0,0.44%
MANA,Decentraland,0.110477,0.106347,176400000.0,14400000.0,-0.46%
SC,Siacoin,0.004103,0.003922,176100000.0,3800000.0,0.37%
REV,Revain,0.015500,0.014029,168000000.0,-1.40,-3.46%
SOL,Solana,3.7673,3.6651,164000000.0,8300000.000000001,3.23%
SXP,Swipe,1.9035,1.8534,163800000.0,74900000.0,-3.43%
EGLD,Elrond Gold,12.08,11.72,161500000.0,7800000.0,-6.84%
OXT,Orchid,0.397530,0.385535,155900000.0,7100000.0,3.19%
QNT,Quant,13.40,12.51,147800000.0,170811.01,4.55%
XRB,Nano (RaiBlocks),1.1052,1.0618,143200000.0,2400000.0,-1.43%
AVAX,Avalanche,5.69,5.52,141400000.0,9700000.0,-1.29%
STORJ,Storj,0.714380,0.694197,139300000.0,18800000.0,3.95%
RVN,Ravencoin,0.019603,0.018856,136200000.0,4200000.0,1.95%
STX,Blockstack,0.221107,0.214957,133800000.00000001,190.22,-2.38%
NMR,Numeraire,41.18,39.41,133600000.0,3400000.0,-2.40%
GNT,Golem,0.134032,0.129276,129600000.0,3700000.0,-3.56%
SRM,Serum,2.2133,2.1432,123800000.0,23300000.0,-5.12%
IOST,IOStoken,0.008054,0.007693,116400000.0,32900000.0,0.37%
FTM,Fantom,0.043158,0.041634,115500000.0,12300000.0,-5.62%
SNT,Status,0.034192,0.032734,114800000.0,2400000.0,0.81%
TOMO,TomoChain,1.189265,1.155940,114000000.0,31600000.0,-10.51%
BNT,Bancor,1.647282,1.598072,112000000.0,8000000.0,-5.39%
HOT,Holo,0.000666,0.000636,107200000.0,746006.78,-1.15%
MATIC,Matic Network,0.027049,0.026097,104900000.0,10400000.0,0.37%
KAVA,Kava,3.084248,3.005172,104800000.0,12200000.0,2.89%
RLC,iExec,1.285002,1.242224,100100000.0,3000000.0,2.22%
XVG,Verge,0.006382,0.005883,97300000.0,1500000.0,5.39%
KMD,Komodo,0.8051,0.7805,96600000.0,991395.42,0.94%
MCO,Crypto.com Token (MCO),5.98,5.72,90800000.0,1000000.0,-2.85%
CRV,Curve DAO Token,0.8960,0.8723,89000000.0,34700000.0,-12.02%
BTS,BitShares,0.030393,0.029113,88000000.0,6600000.0,-1.12%
STEEM,Steem,0.225210,0.218275,85400000.0,3600000.0,0.10%
UTK,Utrust,0.194513,0.187503,78500000.0,4700000.0,-5.59%
FET,Fetch.ai,0.074310,0.071803,78400000.0,5900000.0,-2.23%
ZEN,Horizen,7.7693,7.5348,75800000.0,1400000.0,0.71%
CHZ,Chiliz,0.015804,0.015236,75600000.0,3200000.0,-1.53%
WAXP,WAX,0.055163,0.053249,73200000.0,1400000.0,2.34%
ETN,Electroneum,0.007294,0.006788,73100000.0,598546.68,0.37%
ELF,aelf,0.136311,0.131689,71800000.0,6400000.0,0.03%
HIVE,Hive,0.2241,0.2154,70000000.0,1100000.0,1.97%
HC,HyperCash,1.5994,1.5355,69700000.0,7100000.0,-0.59%
ARDR,Ardor,0.068991,0.066523,67000000.0,1100000.0,0.59%
UBT,Unibright,0.460753,0.437909,66800000.0,243075.89,-2.77%
SCRT,Secret,0.968310,0.924993,66300000.0,97554.51,20.08%
MAID,MaidSafeCoin,0.136159,0.129577,60000000.0,328735.85,3.96%
STRAT,Stratis,0.6132,0.5885,59900000.0,1300000.0,1.86%
IOTX,IoTeX,0.010637,0.010107,55600000.0,1300000.0,0.37%
WNXM,Wrapped Nexus Mutual,45.57,44.11,53600000.0,8700000.0,-7.07%
TFUEL,Theta Fuel,0.014133,0.013727,52700000.0,7000000.0,-1.75%
AION,Aion,0.114732,0.111023,52000000.0,963952.47,0.10%
AE,Aeternity,0.163816,0.156277,50700000.0,879392.91,-1.01%
SOLVE,Solve,0.140870,0.134405,49300000.0,249867.06,0.80%
AGI,SingularityNET,0.059266,0.056869,49000000.0,4099999.9999999995,-0.15%
ARK,Ark,0.403919,0.388883,48100000.0,580401.66,0.18%
POWR,Power Ledger,0.114884,0.111174,47500000.0,500422.58,-2.22%
NPXS,Pundi X,0.000207,0.000187,46600000.0,713480.06,-0.61%
ONE,Harmony,0.007750,0.007391,44800000.0,6500000.0,-1.56%
WAN,Wanchain,0.370791,0.351473,44600000.0,1500000.0,-4.30%
ELA,Elastos,2.5860,2.4140,42800000.0,4900000.0,0.97%
SYS,Syscoin,0.068991,0.066222,40200000.0,282845.70,0.59%
OGN,Origin Protocol,0.296328,0.284196,39000000.0,4099999.9999999995,3.39%
DATA,Streamr DATAcoin,0.059722,0.057473,38500000.0,497512.11,1.14%
NULS,Nuls,0.391306,0.378022,36800000.0,2700000.0,-2.85%
VGX,Voyager Token,0.169439,0.161859,36100000.0,26534.54,11.24%
RDD,Reddcoin,0.001368,0.001207,35400000.0,38114.62,0.37%
SAND,Sandbox,0.072430,0.070104,35000000.0,3900000.0,5.08%
WTC,Walton,0.5003,0.4812,34000000.0,1800000.0,-1.17%
CRPT,Crypterium,0.3159,0.3015,32600000.0,96465.36,-4.98%
WRX,WazirX,0.134943,0.130332,31700000.0,1600000.0,-1.74%
PIVX,PIVX,0.5215,0.5049,29000000.0,456260.42,-1.13%
RCN,Ripio Credit Network,0.058506,0.055361,28500000.0,111758.85,-1.17%
CELR,Celer Network,0.006686,0.006336,28000000.0,3400000.0,-1.86%
ADX,AdEx,0.277941,0.270167,28000000.0,1700000.0,-10.72%
MTL,Metal,0.432336,0.422220,27900000.0,4099999.9999999995,-0.23%
REQ,Request,0.028721,0.027756,27800000.0,4600000.0,2.54%
FUN,FunFair,0.004255,0.004073,26800000.0,199812.48,0.37%
VTHO,VeThor Token,0.000990,0.000934,26800000.0,216176.57,-4.19%
CND,Cindicator,0.013373,0.012822,25900000.0,59092.35,-0.76%
DRGN,Dragonchain,0.068991,0.064864,25400000.0,11125.69,0.37%
DENT,DentCoin,0.000318,0.000296,24800000.0,203889.08,-0.60%
NIM,Nimiq,0.003901,0.003637,24700000.0,835709.13,-1.22%
NAS,Nebulas,0.4864,0.4708,24600000.0,2500000.0,-3.91%
GBYTE,Obyte,33.15,32.06,24500000.0,5341.01,-1.05%
CVC,Civic,0.036167,0.034846,23400000.0,843335.85,-2.10%
QSP,Quantstamp,0.036623,0.034996,22400000.0,753006.02,-1.68%
MFT,Mainframe,0.002249,0.002165,22100000.0,597886.83,0.30%
STMX,StormX,0.003039,0.002866,21800000.0,0,5.65%
GAS,GAS,2.1597,2.0785,21400000.0,1800000.0,-2.08%
FCT,Factom,1.9541,1.8047,18400000.0,25174.04,-2.90%
VTC,Vertcoin,0.338726,0.312404,18100000.0,159853.86,4.15%
NXS,Nexus,0.279005,0.255685,16900000.0,70478.23,-0.93%
PPT,Populous,0.3127,0.2996,16399999.999999998,467680.53,-1.03%
QKC,QuarkChain,0.007598,0.007241,15700000.0,693182.81,-1.60%
LBC,LBRY Credits,0.032064,0.030622,14400000.0,952523.95,-2.41%
EMC2,Einsteinium,0.064584,0.060942,13600000.0,73371.01,-1.26%
WABI,Tael,0.131296,0.125957,13500000.0,438680.58,-3.75%
SKY,Skycoin,0.6784,0.6498,12500000.0,119734.06,-0.52%
RDN,Raiden Network,0.248612,0.238791,12200000.0,1400000.0,-4.03%
PAY,TenX,0.089202,0.083720,12200000.0,13000000.0,-8.08%
GO,GoChain,0.012157,0.011766,12200000.0,326409.10,-0.87%
NXT,Nxt,0.013221,0.012369,12100000.0,233646.22,-4.04%
WINGS,WINGS,0.116100,0.099408,11200000.0,21531.60,-5.22%
GTO,Gifto,0.010637,0.010258,10100000.0,3600000.0,0.37%
PPC,Peercoin,0.3083,0.2901,8900000.0,4893.64,1.27%
KEY,SelfKey,0.002676,0.002552,8700000.0,533159.57,-4.56%
GAME,GameCredits,0.084340,0.079195,7600000.0,60660.15,5.90%
OST,OST,0.009878,0.009352,7200000.0,314586.21,0.37%
SRN,Sirin Labs,0.014892,0.014029,7100000.0,224346.36,-5.42%
POE,Po.et,0.002279,0.002112,7100000.0,22162.46,0.37%
DNT,district0x,0.012157,0.011615,7100000.0,85568.91,1.64%
WPR,WePower,0.010334,0.009805,6700000.0,168915.73,0.37%
TNT,Tierion,0.012738,0.011715,6100000.0,148196.11,0.19%
NCASH,Nucleus Vision,0.000777,0.000700,5100000.0,56516.65,-1.24%
SUB,Substratum,0.002280,0.001660,778971.78,1814.62,0.39%
ONG,Ontology Gas,0.173086,0.167440,274530.32,565.88,-2.88%
AGS,Silver Standard,1.1777,1.0656,0,0,2.10%
AUS,Gold Standard,87.49,83.72,0,0,0.66%
YFII,DFI.Money,2767.97,2686.64,0,50500000.0,-7.86%
ANKR,Ankr,0.010030,0.009654,0,9300000.0,-4.00%
